bn:00113968a	yellow|黄
bn:00082842v	mating|交配 force|强迫 guilty|有罪 disobey|违背 offend|得罪 damage|损害 MakeBad|加害 fierce|暴
bn:00087930v	general|共通 guess|猜测 deduce|推理
bn:00087593v	wrap|包扎 cover|遮盖
bn:00082225v	finish|完毕 fulfil|实现 conduct|实施 succeed|成功
bn:00093435v	understand|领会 perception|感知 look|看
bn:00088454v	obstruct|阻止 prohibit|禁止 evade|回避 restrain|制止 neg|否 keep|保持
bn:00086717v	hate|仇恨 disgust|厌恶 CauseToDo|使动 extreme|极
bn:00082991v	GoBackward|后退 military|军 MoveItBack|回移 remove|消除 judge|裁定 prohibit|禁止 abandon|放弃 cease|停做
bn:00087845v	leave|离开 GoOut|出去 withdraw|退出
bn:00085501v	reconcile|讲和
bn:00082246v	gather|采集 assemble|聚集 collect|收 ComeTogether|集聚 BecomeMore|增多
bn:00087732v	establish|建立 start|开始
bn:00091358v	write|写
bn:00087285v	perception|感知 dream|做梦 thought|念头 think|思考 forming|形成 image|图像
bn:00082666v	predict|预料 MakeEarlier|提早
bn:00093369v	skin|皮 wounded|受伤
bn:00090554v	CauseToDo|使动
bn:00082413v	disseminate|传播 commerce|商业
bn:00087025v	despise|轻视 PayAttention|注意 neg|否 IllTreat|慢待
bn:00092343v	BeRecovered|复原 alive|活着 die|死 resume|恢复
bn:00083943v	cease|停做 temporary|临时 end|终结
bn:00086289v	bump|撞 OutOfOrder|坏掉 FormChange|形变 damage|损害 beat|打 AlterForm|变形状
bn:00085594v	confuse|混淆 MakeMisunderstand|使误知
bn:00082602v	ExpressAgainst|谴责 damage|损害
bn:00087857v	discharge|开除 expel|驱赶 exile|流放 drain|排出
bn:00084343v	die|死 disappear|消失 perish|灭亡
bn:00089401v	wait|等待 stay|停留 delay|拖延
bn:00084308v	repair|修理 BeRecovered|复原 resume|恢复 doctor|医治
bn:00088261v	beat|打
bn:00091584v	print|印刷
bn:00084710v	cease|停做 CeaseCauseTOMove|终止他移 TurnOff|止动 end|终结 obstruct|阻止
bn:00091037v	discuss|商讨 Price|价格 commerce|商业
bn:00088065v	undergo|经受 worried|着急 fear|害怕
bn:00084554v	bring|携带 transport|运送 transmit|传送
bn:00084199v	assemble|聚集
bn:00082357v	amend|改正 adjust|调整
bn:00083309v	confuse|混淆 MakeMisunderstand|使误知
bn:00085803v	mating|交配
bn:00087884v	investigate|调查
bn:00083736v	StateGas|气态 cook|烹调 StateChange|态变 WarmUp|加热
bn:00095378v	remove|消除 resume|恢复
bn:00089472v	expect|期望
bn:00087088v	GoDown|下去 location|位置 waters|水域 beneath|下
bn:00087802v	replace|代替 exchange|交换
bn:00086107v	FormChange|形变 separate|分离
bn:00085095v	clean|使净 wipe|擦拭 remove|消除
bn:00090142v	know|知道
bn:00089083v	grow|成长 BecomeMore|增多
bn:00082205v	accept|接受 receive|收受
bn:00090326v	LieDown|躺卧
bn:00085443v	alter|改变 location|位置 reverse|颠倒
bn:00083546v	ExpressAgainst|谴责 blame|埋怨
bn:00084503v	reverse|颠倒
bn:00086086v	CausePartMove|部件他移 sit|坐蹲 FormChange|形变 curved|弯
bn:00090584v	propose|提出
bn:00094314v	steal|偷 rob|抢
bn:00083340v	begin|起始 start|开始 TurnOn|启动
bn:00082400v	prosper|发达 urge|促使 GoForward|前进
bn:00094020v	ize|变性态 soft|软
bn:00088803v	GiveAsGift|赠 give|给 provide|供
bn:00091872v	put|放置
bn:00084958v	cease|停做 abandon|放弃 surrender|屈服 defeated|输掉
bn:00095812v	do|做 engage|从事 affairs|事务
bn:00095650v	wash|洗涤 remove|消除 moisten|加湿 clean|使净
bn:00082458v	decline|衰败 ize|变性态 serious|严重 more|较
bn:00084179v	fasten|拴连
bn:00089376v	pawn|押给
bn:00085286v	PutInOrder|整理
bn:00083597v	merge|合并 ally|结盟 mix|混合 connect|连接
bn:00087291v	PutOn|穿戴 clothing|衣物 decorate|装饰
bn:00085471v	ExpressDissatisfaction|示不满 blame|埋怨
bn:00086962v	provide|供 food|食品
bn:00095091v	alter|改变 change|变
bn:00087325v	GoDown|下去 spray|洒下
bn:00088871v	look|看 read|读 roughly|大概
bn:00086797v	differ|不同
bn:00082427v	MakeTrouble|捣乱 influence|影响
bn:00093762v	burn|焚烧
bn:00086417v	BecomeLess|减少 GoDown|下去 subtract|削减 shrink|缩小
bn:00085084v	delimit|划定 explain|说明
bn:00089323v	hesitate|犹豫
bn:00088932v	GoThrough|经过
bn:00088886v	fly|飞 slide|滑 aircraft|飞行器
bn:00086894v	cease|停做
bn:00090224v	put|放置
bn:00094732v	TakeVehicle|搭乘 LandVehicle|车
bn:00088334v	water|水
bn:00083805v	HoldInArm|搂抱
bn:00086714v	decide|决定 judge|裁定 delimit|划定
bn:00083550v	please|取悦
bn:00086870v	plan|计划 guide|引导
bn:00087800v	alter|改变
bn:00084092v	win|获胜 fulfil|实现 succeed|成功
bn:00088865v	willing|愿意
bn:00083512v	rotate|转动 turn|扭转
bn:00083289v	CausePartMove|部件他移 part|部件 hand|手 human|人 call|召唤 wave|摆动
bn:00093949v	transport|运送 guilty|有罪
bn:00093978v	smell|闻 perception|感知 inhale|吸入
bn:00093918v	eat|吃 loud|高声
bn:00088817v	give|给 provide|供 express|表示 GiveAsGift|赠
bn:00085710v	handle|处理 succeed|成功
bn:00087517v	engage|从事 select|选拔 politics|政
bn:00091519v	look|看 attentive|专注 careful|细心
bn:00088192v	TakePicture|拍摄 image|图像
bn:00086765v	swallow|咽下
bn:00087056v	alter|改变 fake|伪 true|真 forge|伪造
bn:00082333v	speak|说 human|人 mass|众
bn:00089924v	scratch|抓挠 rub|摩擦 itch|发痒
bn:00087487v	cultivate|培养 education|教育 teach|教
bn:00085466v	recompense|补偿
bn:00083775v	record|记录
bn:00084007v	excrete|排泄 gas|气
bn:00087793v	surpass|强过
bn:00082430v	excite|感动 influence|影响 remember|记得 TakeAway|搬动
bn:00087763v	judge|裁定 estimate|评估
bn:00090424v	situated|处于 location|位置
bn:00093332v	unfold|铺摊 disperse|散开 separate|分离 disseminate|传播 spread|撒
bn:00082534v	issue|分发 arrange|安排
bn:00094278v	endure|忍耐 vertical|纵 put|放置
bn:00087328v	TakeVehicle|搭乘 LandVehicle|车 drive|驾驭 automatic|自动 VehicleGo|驶
bn:00082867v	TakeCare|照料 entertain|招待 engage|从事 help|帮助
bn:00087766v	ize|变性态 StateGas|气态 GoUp|上去 gas|气 StateChange|态变 liquid|液
bn:00089872v	AlterForm|变形状 swollen|肿胀
bn:00095207v	PutOn|穿戴 try|尝试 Size|尺寸
bn:00085927v	shiver|颤动 surrender|屈服
bn:00087645v	enjoy|享受
bn:00089426v	time|时间 WhileAway|消闲 rest|休息
bn:00083610v	CausePartMove|部件他移 eye|眼
bn:00090139v	AlterForm|变形状 fasten|拴连
bn:00092817v	replace|代替
bn:00084776v	alter|改变 change|变 replace|代替
bn:00083375v	PlayDown|贬低 slander|诽谤 ExpressAgainst|谴责
bn:00084573v	persuade|劝说
bn:00091921v	recite|诵读 religion|宗教
bn:00088822v	give|给 GiveAsGift|赠
bn:00082584v	return|还
bn:00093509v	TakeCare|照料 engage|从事 submit|交
bn:00086468v	adjust|调整 install|安装 MakeAppointment|约定 put|放置 delimit|划定 inlay|嵌入 judge|裁定 decide|决定 fix|定住
bn:00093798v	exercise|锻炼 sport|体育 slide|滑
bn:00092770v	persuade|劝说 tell|告诉
bn:00082450v	grow|成长 Age|年龄 ripe|成熟
bn:00091458v	pass|度过 exhaust|损耗 cross|越过 GoThrough|经过 qualified|合格
bn:00087243v	collect|收 money|货币 TakeBack|取回 MoveItOut|外移 finance|金融 MoveItBack|回移
bn:00088104v	perception|感知
bn:00094590v	lights|光 illuminate|照射
bn:00083545v	ExpressAgainst|谴责 blame|埋怨
bn:00092254v	MakeSound|发声 shiver|颤动
bn:00086056v	CausePartMove|部件他移
bn:00084299v	bury|埋入 human|人 die|死
bn:00082126v	weaken|削弱 subtract|削减
bn:00088411v	fold|摺叠 bend|折弯
bn:00084374v	calculate|计算 estimate|评估 predict|预料 plan|计划 guess|猜测 regard|认为 depend|依靠
bn:00086736v	forming|形成 drill|练习 teach|教 cultivate|培养 prepare|准备 CauseToGrow|使成长 education|教育
bn:00085961v	obstruct|阻止
bn:00092023v	print|印刷
bn:00082591v	recreation|娱乐 tease|取乐 please|取悦 joyful|喜悦
bn:00082321v	DoSum|算术 add|增加 AmountTo|总计 MakeHigher|提高 enrich|充实 ComeTogether|集聚 calculate|计算
bn:00082206v	accept|接受 use|利用 receive|收受 hold|拿 TakePicture|拍摄
bn:00086115v	ComeTogether|集聚 crowded|挤 press|按压 SqueezeOut|挤出 assemble|聚集 shrink|缩小
bn:00083165v	wash|洗涤 body|身
bn:00094362v	stabilize|使不变 stiff|呆 strict|严格
bn:00087679v	record|记录
bn:00086223v	abandon|放弃 gather|采集 subtract|削减
bn:00082764v	defend|防守 military|军 prosper|发达
bn:00085334v	do|做 distinguish|分辨 neg|否 happen|发生 fast|快 arrive|到达 GoInto|进入 CauseToLive|使活 associate|交往
bn:00088060v	like|爱惜 biased|不公正 protect|保护
bn:00091064v	press|按压 SqueezeOut|挤出
bn:00087683v	WellTreat|善待 ThinkOf|思念 human|人 think|思考
bn:00089089v	grow|成长 adult|成年 ripe|成熟
bn:00085401v	order|命令 request|要求
bn:00086877v	prohibit|禁止 reject|回绝
bn:00087072v	MakeTrouble|捣乱 MakeWorried|困扰
bn:00089086v	ripe|成熟 grow|成长
bn:00087413v	escape|躲避
bn:00084627v	throw|扔 drop|投下
bn:00086942v	discuss|商讨 talk|谈话
bn:00084769v	alter|改变 change|变
bn:00094108v	MakeSound|发声 write|写
bn:00086607v	depend|依靠 ResultFrom|缘于
bn:00085322v	come|来 happen|发生 follow|跟随 obey|遵循 imitate|模仿 GoOn|继续 SelfMove|自移 specific|特定 engage|从事
bn:00090322v	LieDown|躺卧
bn:00086935v	research|研究 LookFor|寻
bn:00085904v	cover|遮盖
bn:00091006v	naming|称作
bn:00091913v	praise|夸奖
bn:00091713v	perform|表演 MusicTool|乐器
bn:00089351v	obtain|得到 symbol|符号 accomplishment|成绩 compete|比赛 sport|体育
bn:00085975v	GoDown|下去 bump|撞
bn:00087959v	decline|衰败 plant|植物
bn:00085427v	give|给 provide|供 engage|从事 fact|事情 guilty|有罪
bn:00094620v	swim|游
bn:00089349v	attack|攻打 firing|射击 weapon|武器 shoot|发射
bn:00090529v	kill|杀害 police|警 punish|处罚
bn:00083526v	AlterColor|变颜色 black|黑
bn:00086637v	deprive|剥夺 take|取
bn:00084154v	stroke|抚 wipe|擦拭 rub|摩擦 touch|触
bn:00082264v	painful|疼痛
bn:00084787v	alone|独自 pull|拉 change|变 alter|改变
bn:00087104v	human|人 family|家庭 female|女 spouse|配偶 male|男 separate|分离
bn:00083498v	fasten|拴连 coil|缠绕 fix|定住
bn:00091032v	IllTreat|慢待
bn:00083333v	beg|乞求
bn:00084086v	succeed|成功 fulfil|实现
bn:00095149v	shiver|颤动
bn:00087583v	imitate|模仿
bn:00088421v	follow|跟随
bn:00082722v	grateful|感激 thank|致谢
bn:00082382v	foster|饲养 accept|接受 include|纳入
bn:00085515v	pregnant|怀孕
bn:00082911v	BecomeLess|减少
bn:00087364v	GoDown|下去 MoveItDown|下移 spray|洒下 drop|投下
bn:00082565v	merge|合并 ally|结盟
bn:00083552v	forget|忘记
bn:00086684v	willing|愿意 request|要求
bn:00087274v	AlterMeasurement|变量度 LengthLong|长 delay|拖延 enlarge|扩大
bn:00085903v	cover|遮盖 HideTruth|瞒 protect|保护 contain|包含
bn:00083833v	jump|跳
bn:00084712v	surrender|屈服 abandon|放弃
bn:00092238v	MakeSound|发声 bird|禽
bn:00088644v	arrange|安排 decorate|装饰 provide|供
bn:00087776v	exile|流放 expel|驱赶 discharge|开除
bn:00088177v	occupy|占领 fill|填入
bn:00087412v	naming|称作
bn:00087628v	engage|从事
bn:00085796v	adjust|调整 coordinate|协调 fit|适合
bn:00089584v	illuminate|照射 lighting|点燃
bn:00089157v	separate|分离 double|复 average|平均
bn:00087631v	TurnOn|启动 start|开始 conduct|实施 engage|从事 fight|争斗 military|军
bn:00086934v	investigate|调查 research|研究 LookFor|寻
bn:00082489v	AimAt|定向 guide|引导 arrange|安排
bn:00083472v	propose|提出 Price|价格 pay|付
bn:00089737v	receive|收受
bn:00082194v	SpeedUp|加快 VieFor|快干
bn:00085113v	MakeSound|发声
bn:00089779v	urge|促使 incite|指使
bn:00085890v	connect|连接
bn:00086546v	request|要求
bn:00095260v	create|创造
bn:00092012v	stab|扎 painful|疼痛 sting|叮 damage|损害
bn:00082195v	emphasize|着重
bn:00084140v	damage|损害 IllTreat|慢待 human|人 frighten|吓唬
bn:00085527v	fulfil|实现 MakeAppointment|约定 mediate|调解 reconcile|讲和 Vachieve|达成
bn:00093724v	sigh|叹气 respire|呼吸
bn:00083038v	IllTreat|慢待 deceive|欺骗 tease|取乐 MakeBad|加害 fierce|暴 loosen|放松
bn:00086880v	disappear|消失
bn:00089786v	install|安装
bn:00089259v	SelfMove|自移 GoForward|前进 guide|引导 LeaveFor|前往
bn:00087566v	announce|发表 MakeSound|发声 speak|说
bn:00087201v	refine|纯化 MakeBetter|优化 adjust|调整 refined|精
bn:00087600v	urge|促使
bn:00082525v	weaken|削弱 calm|镇静 resume|恢复 soothe|安慰
bn:00082783v	PutInOrder|整理 arrange|安排 plan|计划 plans|规划 put|放置 InSequence|有序
bn:00095777v	defeat|战胜 win|获胜 obtain|得到
bn:00088085v	foster|饲养 feed|喂 edible|食物 female|女 drink|喝 eat|吃 fill|填入
bn:00087571v	understand|领会 pity|怜悯
bn:00088862v	surrender|屈服
bn:00089686v	ize|变性态
bn:00086127v	AlterForm|变形状
bn:00083567v	firing|射击 weapon|武器 jet|喷出 shoot|发射
bn:00093292v	speak|说
bn:00082590v	cut|切削 medical|医 doctor|医治 separate|分离
bn:00084525v	PayAttention|注意 TakeCare|照料
bn:00087151v	royal|皇
bn:00082412v	mention|提及 propose|提出 quote|引用
bn:00091762v	beat|打
bn:00087905v	AlterMeasurement|变量度 LengthLong|长 LeaveFor|前往 SelfMoveInManner|方式性自移 LeadTo|通往 pass|度过 cross|越过 GoThrough|经过
bn:00087234v	pull|拉 transport|运送 PickOut|拔出
bn:00087672v	contain|包含 mean|指代 express|表示 Content|内容
bn:00093191v	bump|撞 LandVehicle|车
bn:00089731v	repeat|重复 explain|说明 again|再 speak|说
bn:00095770v	AlterForm|变形状 wide|阔 enlarge|扩大
bn:00088698v	lift|提升
bn:00083774v	buy|买 MakeAppointment|约定 SetAside|留存
bn:00091362v	lack|缺少 owe|欠 InDebt|亏损
bn:00086883v	disappoint|辜负 disappointed|失望
bn:00082414v	disseminate|传播
bn:00085262v	alive|活着 together|共同 GetMarried|结婚 neg|否 reside|住下
bn:00082339v	entertainment|艺 cover|遮盖 protect|保护 biased|不公正 contain|包含 apply|涂抹 HideTruth|瞒 speak|说 propose|提出
bn:00087699v	count|计数
bn:00083380v	MakeSound|发声 cry|喊 loud|高声
bn:00091165v	open|打开 reveal|揭露
bn:00095594v	wait|等待
bn:00082787v	CeaseCauseTOMove|终止他移 stay|停留 restrain|制止 cease|停做 TurnOff|止动 block|拦住 obstruct|阻止
bn:00094005v	weep|哭泣
bn:00088915v	ActGeneral|泛动 Behavior|举止 human|人 SelfMove|自移 function|活动 become|成为 LeaveFor|前往 go|去 SelfMoveInManner|方式性自移 commerce|商业 economy|经济 select|选拔 politics|政
bn:00082324v	include|纳入 add|增加
bn:00086983v	disgust|厌恶 FondOf|喜欢 neg|否
bn:00093229v	VehicleGo|驶 ship|船
bn:00087819v	explain|说明
bn:00084082v	produce|制造 reproduce|生殖 create|创造
bn:00088423v	follow|跟随 imitate|模仿 SelfMove|自移
bn:00088556v	cool|制冷 ice|冰 cold|冷
bn:00083679v	AlterForm|变形状 wide|阔 enlarge|扩大 gas|气 LandVehicle|车 SportTool|运动器材 round|圆 sport|体育 lighting|点燃 CauseToDo|使动 boast|夸大 MakeBetter|优化 PlayUp|鼓吹
bn:00085289v	assemble|聚集 ComeTogether|集聚
bn:00092745v	rescue|救助 TakeOutOfWater|捞起 help|帮助 disconnect|脱离
bn:00082213v	fit|适合
bn:00082286v	do|做 act|行动 ActGeneral|泛动 Behavior|举止 human|人 perform|表演 conduct|实施
bn:00095412v	open|打开 tool|用具 fasten|拴连 fix|定住
bn:00091705v	apply|涂抹 industrial|工
bn:00088643v	provide|供
bn:00082877v	guarantee|保证 CauseToDo|使动
bn:00085319v	arrive|到达 come|来 approach|接近
bn:00085164v	TurnOff|止动 cease|停做 shut|关闭 end|终结 finish|完毕
bn:00086297v	decide|决定 time|时间
bn:00094650v	exchange|交换 buy|买 sell|卖 engage|从事 affairs|事务 commerce|商业 alter|改变
bn:00084601v	pull|拉
bn:00089891v	include|纳入 receive|收受 entertain|招待 invite|邀请
bn:00095482v	estimate|评估 commerce|商业 Price|价格
bn:00089277v	listen|听 perception|感知
bn:00084034v	reproduce|生殖 animal|兽 foster|饲养 agricultural|农 cultivate|培养
bn:00082683v	MakeBad|加害 fierce|暴
bn:00088733v	CauseToDo|使动
bn:00089494v	fly|飞 hang|悬挂 circle|盘旋
bn:00082596v	analyze|分析 research|研究 check|查 diagnose|诊察 investigate|调查
bn:00089027v	please|取悦 CauseToDo|使动 satisfied|满意 ize|变性态 joyful|喜悦
bn:00086979v	StripOff|剥去 clothing|衣物
bn:00092877v	CauseToDo|使动 disgust|厌恶 hate|仇恨 blame|埋怨
bn:00091562v	stay|停留
bn:00083560v	PlayDown|贬低 ExpressAgainst|谴责 slander|诽谤 damage|损害
bn:00093136v	DoSum|算术
bn:00083646v	pregnant|怀孕 plant|植物
bn:00093231v	VehicleGo|驶 ship|船
bn:00086698v	destroy|消灭 damage|损害
bn:00092524v	obey|遵循 submit|交 request|要求
bn:00088948v	GoDown|下去 location|位置 waters|水域 beneath|下 MoveItDown|下移
bn:00085873v	damage|损害
bn:00082772v	call|召唤 awake|醒 CauseToDo|使动
bn:00090901v	control|控制 alone|独自
bn:00082352v	announce|发表 tell|告诉 result|结果
bn:00093518v	adjust|调整
bn:00086612v	describe|描写
bn:00093378v	protect|保护
bn:00084272v	StateChange|态变 burn|焚烧
bn:00084144v	look|看
bn:00092606v	spread|撒 Odor|气味 physical|物质 stinky|臭
bn:00086966v	discourage|泼冷水
bn:00088353v	excrete|排泄 regular|定期 part|部件 BodyFluid|体液 red|红 human|人 female|女 flow|流
bn:00085715v	GoForward|前进
bn:00083041v	cook|烹调 WarmUp|加热
bn:00088488v	forming|形成
bn:00082441v	provide|供
bn:00089856v	propose|提出
bn:00086424v	ize|变性态 lawful|合法
bn:00087861v	undergo|经受 GoThrough|经过
bn:00091166v	begin|起始 start|开始 TurnOn|启动
bn:00084270v	StateChange|态变 burn|焚烧
bn:00082817v	ask|问
bn:00091898v	crowded|挤 over|超 many|多 ComeTogether|集聚
bn:00085651v	think|思考 careful|细心
bn:00089614v	urge|促使
bn:00083790v	dismiss|罢免 discharge|开除 expel|驱赶
bn:00090616v	manage|管理
bn:00093569v	PlayDown|贬低
bn:00086342v	debate|辩论
bn:00084785v	alter|改变 change|变
bn:00083668v	boast|夸大 praise|夸奖 human|人 self|己
bn:00088200v	fulfil|实现 finish|完毕
bn:00084058v	bring|携带 take|取 transmit|传送 transport|运送
bn:00090032v	condole|致哀
bn:00088036v	thought|念头 rash|莽
bn:00084229v	disable|残疾 speak|说
bn:00089254v	sell|卖 transport|运送
bn:00088046v	attract|吸引
bn:00085711v	fight|争斗
bn:00085301v	establish|建立 place|地方 country|国家 politics|政 powerless|无威力 control|控制 powerful|有威力
bn:00082442v	provide|供
bn:00083228v	own|有
bn:00082449v	grow|成长 Age|年龄
bn:00088882v	illuminate|照射
bn:00084662v	look|看 perception|感知 include|纳入
bn:00085567v	guide|引导
bn:00086710v	obstruct|阻止 persuade|劝说
bn:00082963v	expect|期望
bn:00092391v	disconnect|脱离 separate|分离
bn:00086065v	BeAcross|相交
bn:00085254v	exist|存在 together|共同
bn:00086304v	apply|涂抹
bn:00088029v	CauseToDo|使动 HungryThirsty|饥渴
bn:00094442v	AlterMeasurement|变量度 LengthLong|长 CausePartMove|部件他移 AlterForm|变形状 pull|拉 FormChange|形变
bn:00094585v	general|共通 concise|扼要
bn:00089215v	damage|损害 offend|得罪
bn:00084615v	load|装载 tool|用具 put|放置
bn:00091360v	owe|欠
bn:00091652v	kill|杀害 firing|射击 shoot|发射 weapon|武器
bn:00094731v	obtain|得到 occupy|占领
bn:00094361v	stabilize|使不变 become|成为 stiff|呆
bn:00093778v	sit|坐蹲
bn:00089743v	begin|起始 start|开始 establish|建立 TurnOn|启动 FuncWord|功能词 Vstart|发端
bn:00093676v	cry|喊 loud|高声
bn:00095593v	wait|等待
bn:00085125v	BecomeMore|增多 GoUp|上去 MakeHigher|提高 add|增加
bn:00089246v	receive|收受 obtain|得到 collect|收 own|有
bn:00092764v	remember|记得 commemorate|示思念 time|时间 LookBack|回想
bn:00083364v	StomachTrouble|腹症 MakeSound|发声
bn:00083738v	StateChange|态变 WarmUp|加热
bn:00083737v	cook|烹调 StateChange|态变 WarmUp|加热
bn:00086431v	deduce|推理 display|展示 guess|猜测 Vachieve|达成
bn:00085459v	force|强迫 order|命令
bn:00091114v	disobey|违背 oppose|反对 refuse|拒做 reject|回绝
bn:00084312v	ShowLove|示爱 touch|触 part|部件 mouth|口 AnimalHuman|动物 stroke|抚
bn:00090275v	PassOn|留给
bn:00082821v	ask|问 request|要求
bn:00082311v	fulfil|实现 understand|领会 prove|证明
bn:00089271v	doctor|医治
bn:00084331v	buy|买
bn:00082481v	help|帮助 rescue|救助
bn:00088996v	catch|捉住 hold|拿 pick|拾起
bn:00086370v	decide|决定
bn:00087608v	cease|停做 end|终结 finish|完毕 due|到期 shut|关闭 TurnOff|止动
bn:00084536v	stroke|抚 ShowLove|示爱
bn:00089178v	cease|停做 hang|悬挂
bn:00090725v	meet|会面 know|知道
bn:00083824v	BeRecovered|复原
bn:00084198v	build|建造 establish|建立 create|创造 forming|形成 produce|制造
bn:00089137v	rotate|转动
bn:00094439v	ize|变性态 strong|强 sturdy|健壮
bn:00086604v	leave|离开 disconnect|脱离 farewell|离别
bn:00091986v	press|按压 SqueezeOut|挤出
bn:00086708v	perception|感知 research|研究 measure|测量 LookFor|寻 Vachieve|达成 check|查 look|看 scout|侦察 reveal|揭露 distinguish|分辨
bn:00082665v	expect|期望 predict|预料
bn:00082448v	offend|得罪 damage|损害
bn:00086601v	differ|不同 various|多种
bn:00091796v	tell|告诉 guide|引导
bn:00082379v	follow|跟随 obey|遵循 conduct|实施 RegardAs|当作 endorse|拥护 imitate|模仿 GoOn|继续 KeepOn|使继续 SelfMove|自移 specific|特定 engage|从事
bn:00085479v	write|写 fill|填入
bn:00084065v	obtain|得到 take|取 hold|拿 gather|采集 propose|提出 bring|携带
bn:00094279v	stay|停留 keep|保持
bn:00092911v	delimit|划定 restrain|制止
bn:00087681v	insert|插入 guide|引导 GoInto|进入
bn:00088885v	slide|滑
bn:00088210v	TakeBack|取回 resume|恢复 BeRecovered|复原 doctor|医治 LookBack|回想
bn:00088814v	CauseToDo|使动 give|给
bn:00088957v	GoBack|返回 family|家庭
bn:00082198v	accept|接受 undergo|经受 receive|收受
bn:00090268v	lend|借出
bn:00087318v	drill|练习
bn:00091590v	choose|选择 gather|采集 pick|拾起
bn:00086743v	CauseToAppear|显现 image|图像 TakePicture|拍摄
bn:00085279v	cooperate|合作
bn:00083515v	bite|啃咬
bn:00092159v	shiver|颤动
bn:00090460v	LookFor|寻
bn:00086478v	CauseToDo|使动 PayAttention|注意 neg|否 disperse|散开
bn:00083202v	AptTo|易于 willing|愿意 CauseToDo|使动 tilt|倾斜
bn:00087098v	DoSum|算术 subtract|削减
bn:00087677v	GoInto|进入 engage|从事
bn:00082138v	endure|忍耐 undergo|经受 withstand|抗住 SupportWeight|托住 suffer|遭受 mishap|劫难 bear|承担
bn:00086380v	announce|发表 tell|告诉
bn:00089840v	translate|翻译 explain|说明 alter|改变
bn:00083281v	beautify|美化 MakeBetter|优化 decorate|装饰
bn:00084629v	roam|流浪 walk|走 idle|闲 float|漂 SelfMoveInManner|方式性自移
bn:00082838v	attack|攻打 military|军
bn:00082557v	damage|损害 remove|消除 part|部件 viscera|脏 male|男 AnimalHuman|动物 excrete|排泄 reproduce|生殖 bird|禽 female|女
bn:00090804v	subtract|削减 BecomeLess|减少
bn:00087656v	investigate|调查 ask|问
bn:00089624v	express|表示 tactful|婉
bn:00082901v	fulfil|实现 Vachieve|达成 arrive|到达
bn:00090000v	judge|裁定
bn:00090234v	propose|提出 appear|出现 display|展示 InSequence|有序
bn:00085844v	ize|变性态 immoral|不道德 guilty|有罪 become|成为 damage|损害 abnormal|不正常
bn:00082466v	incite|指使 urge|促使
bn:00089295v	listen|听 PayAttention|注意
bn:00083116v	discuss|商讨 Price|价格
bn:00089817v	engage|从事 mediate|调解
bn:00086435v	regard|认为 RegardAs|当作 cherish|心怀
bn:00083903v	BecomeLess|减少 economy|经济 fast|快 Price|价格 damage|损害 OutOfOrder|坏掉 finance|金融 InDebt|亏损 wealth|钱财 owe|欠
bn:00082526v	moisten|加湿 industrial|工 strengthen|加固 fire|火 disappear|消失 weaken|削弱
bn:00082457v	boast|夸大 BecomeMore|增多 beautify|美化 compile|编辑 shows|表演物 express|表示 interesting|趣
bn:00084425v	remove|消除
bn:00087737v	naming|称作 look|看 regard|认为 RegardAs|当作
bn:00088918v	dispatch|差遣 become|成为 LeaveFor|前往 VehicleGo|驶
bn:00085106v	split|破开 FormChange|形变 separate|分离
bn:00093574v	together|共同 use|利用
bn:00087411v	MakeSound|发声 shows|表演物 translate|翻译
bn:00089983v	engage|从事 include|纳入
bn:00082536v	CauseToDo|使动 agree|同意 indulge|放纵
bn:00087327v	drive|驾驭 VehicleGo|驶
bn:00082929v	mean|指代 announce|发表 early|早 predict|预料
bn:00085734v	refute|反驳 oppose|反对 deny|否认
bn:00085831v	amend|改正 upright|正
bn:00087169v	BecomeMore|增多 double|复 add|增加 repeat|重复
bn:00083437v	entrust|委托 request|要求
bn:00083901v	separate|分离 split|破开 FormChange|形变
bn:00092122v	vomit|吐出 excrement|排泄物 BodyFluid|体液 physiology|生理学
bn:00082706v	fit|适合 conduct|实施
bn:00082878v	guarantee|保证 tell|告诉
bn:00082322v	DoSum|算术 add|增加
bn:00091723v	MusicTool|乐器
bn:00092332v	MakeHigher|提高 add|增加 lift|提升 BecomeMore|增多
bn:00085645v	economize|节省
bn:00094297v	ize|变性态 hard|硬 liquid|液
bn:00087862v	know|知道 understand|领会 undergo|经受
bn:00082392v	simple|简 describe|描写 concise|扼要 explain|说明
bn:00083413v	earn|赚 wealth|钱财 obtain|得到 Advantage|利 advantageous|有利 benefit|便利
bn:00092553v	appear|出现 again|再 happen|发生 repeat|重复
bn:00087101v	farewell|离别 separate|分离 distinguish|分辨 issue|分发 disconnect|脱离
bn:00094692v	TurnOn|启动
bn:00090856v	lose|失去
bn:00088866v	willing|愿意
bn:00083436v	explain|说明 mean|指代 guide|引导 express|表示
bn:00082417v	propose|提出 recommend|推荐 persuade|劝说
bn:00088849v	return|还 money|货币
bn:00086638v	deprive|剥夺 take|取
bn:00091057v	absorb|吸收 eat|吃 edible|食物 bite|啃咬
bn:00092610v	select|选拔 again|再
bn:00087731v	check|查 experiment|实验 try|尝试
bn:00084889v	think|思考
bn:00083095v	believe|相信
bn:00087461v	eat|吃 edible|食物
bn:00087579v	dump|倒出
bn:00086364v	SlowDown|减慢
bn:00093939v	addict|嗜好 tobacoo|烟草 jet|喷出 CloudMist|云雾
